1998  Mitsubishi Pajero Pinin (IO),"135000 կմ , Կուպե, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","31.12.2025 Հայաստան, Մաքսազերծված"
$ 15 500,2024  Rolls Royce Spectre,"80 կմ , Կուպե, Էլեկտրական, Ավտոմատ, 430, Ձախ, Սև","22.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 672 300,2019  Kia Sportage,"69102 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կապույտ"
$ 4 300,2025  Porsche Macan,"25 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","28.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 57 200,2023  Mercedes-Benz EQB,"12978 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, 140, Ձախ, Արծաթագույն","17.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 28 000,2024  BMW X6,"35616 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","13.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 69 700,2025  Porsche Cayenne,"220 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","15.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 151 100,2023  Mercedes-Benz CLS 55 AMG,"18000 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","11.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 79 900,2020  Toyota Rav 4,"51836 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","11.02.2025 ԱՄՆ, Աճուրդում"
$ 10 000,2022  Toyota Corolla,"49796 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Կապույտ"
$ 7 000,2020  Toyota Corolla,"73024 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Կապույտ"
$ 5 300,2023  BMW 520,"32900 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","11.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 44 600,2021  Tesla Model 3,"55595 մղոն , Սեդան, Էլեկտրական, Ավտոմատ, 300, Ձախ, Մոխրագույն"
$ 10 000,2023  Tesla Model 3,"48601 մղոն , Սեդան, Էլեկտրական, Ավտոմատ, 300, Ձախ, Սպիտակ"
$ 11 000,2021  Toyota Rav 4,"3448 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն"
$ 11 500,2022  Toyota Rav 4,"54022 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ"
$ 12 800,2020  Honda CR-V,"53269 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև"
$ 9 000,2021  BMW X3,"48633 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև"
$ 18 500,2025  Land Rover Range Rover Sport,"10 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","23.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 130 300,2022  Kia K5,"24189 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","11.02.2025 ԱՄՆ, Աճուրդում"
$ 8 500,2022  Toyota Bz4X,"18500 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, 150, Ձախ, Սև","21.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 26 800,2021  Honda Accord,"52809 մղոն , Սեդան, Հիբրիդ, Ավտոմատ, Ձախ, Կարմիր","18.02.2025 ԱՄՆ, Աճուրդում"
$ 7 400,2021  Honda Accord,"26059 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","18.02.2025 ԱՄՆ, Աճուրդում"
$ 7 500,2022  Toyota Rav 4,"18156 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","20.02.2025 ԱՄՆ, Աճուրդում"
$ 12 800,2022  Mercedes-Benz CLS 450,"19086 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","15.04.2025 ԱՄՆ, Աճուրդում"
$ 16 500,2019  Hyundai Kona,"78118 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","13.03.2025 ԱՄՆ, Աճուրդում"
$ 4 000,2021  Mercedes-Benz E 350,"86358 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","21.02.2025 ԱՄՆ, Աճուրդում"
$ 20 000,2019  Nissan Sentra,"20527 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","19.03.2025 ԱՄՆ, Աճուրդում"
$ 2 300,2019  Nissan Sentra,"42975 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","19.03.2025 ԱՄՆ, Աճուրդում"
$ 2 100,2019  Chevrolet Equinox,"62456 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","18.03.2025 ԱՄՆ, Աճուրդում"
$ 4 000,2019  Nissan Versa,"71168 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","18.03.2025 ԱՄՆ, Աճուրդում"
$ 2 300,2019  Dodge Challenger,"61667 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","24.02.2025 ԱՄՆ, Աճուրդում"
$ 5 300,2019  Subaru Outback,"88293 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","23.02.2025 ԱՄՆ, Աճուրդում"
$ 4 000,2022  Lexus IS 350 F Sport,"34325 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Կարմիր"
